duoc giai thuong awarded
khoa hoc vien tuong	sci-fi
ve do choi	toys
kinh di	horror
vien tay	western
chien tranh	war
tinh cam	romance
ca nhac	music
hoat hinh	animation
toi pham	crime
chinh kich	drama
cam	silent
chinh luan	drama
co trang	biography
gia su	biography
chinh tri	politics
do choi	toys
giang sinh	Christmas
gia tuong	fiction
hinh su	thriller
nghe thuat	art
nhac kich	musical
phieu luu	adventure
tai lieu	documentary
tu lieu	documentary
hang khong	aviation
ky ao	fantasy
anh hung	superhero
su thi	epic
thieu nien	teens
khieu dam	porn
lich su	history
co tich	mystery	
tam ly	romance
than thoai	mystery
the thao	sport
tieu su	biography
tham hoa	disaster
thieu nhi	children
tinh bao	spy
trinh tham	detective
vo hiep	kung fu
hanh dong	action
phieu luu	adventure
truyen hinh	drama
gia dinh	family
ao tuong	fantasy
den trang	film-noir
am nhac	music
hai	comedy
tet	tet
