được giải thưởng awarded
khoa học viễn tưởng	sci-fi
về đồ chơi	toys
kinh dị	horror
viễn tây	western
chiến tranh	war
tình cảm	romance
ca nhạc	music
hoạt hình	animation
tội phạm	crime
chính kịch	drama
câm	silent
chính luận	drama
cổ trang	biography
giã sử	biography
chính trị	politics
đồ chơi	toys
giáng sinh	Christmas
giả tưởng	fiction
hình sự	thriller
nghệ thuật	art
nhạc kịch	musical
phiêu lưu	adventure
tài liệu	documentary
tư liệu	documentary
hàng không	aviation
kỳ ảo	fantasy
anh hùng	superhero
sử thi	epic
thiếu niên	teens
khiêu dâm	porn
lịch sử	history
cổ tích	mystery	
tâm lý	romance
thần thoại	mystery
thể thao	sport
tiểu sử	biography
thảm họa	disaster
thiếu nhi	children
tình báo	spy
trinh thám	detective
võ hiệp	kung fu
hành động	action
phiêu lưu	adventure
truyền hình	drama
gia đình	family
ảo tưởng	fantasy
đen trắng	film-noir
âm nhạc	music
hài	comedy
tết	tet
ma	ghost
